building_type,climate_zone,budget_level,area_sqft,floors,ceiling_height,occupancy,operating_hours,building_age,outdoor_temp,humidity,insulation,glass_ratio,recommended_hvac
Office,Cold,Medium,31679.25,1.0,11.33,1101.0,9.0,5.0,17.99,38.53,Good,High,Multi-Split
Residential,Warm,Low,2077.67,1.0,9.86,35.0,7.0,3.0,28.5,54.69,Average,Medium,Split AC
Residential,Warm,,1102.02,1.0,10.62,23.0,11.0,15.0,25.78,24.49,Average,Low,Split AC
Residential,Humid,High,1506.4,1.0,10.08,41.0,8.0,25.0,31.5,66.41,Good,Low,Split AC
Residential,Humid,Medium,2640.08,1.0,10.65,47.0,6.0,14.0,34.45,92.65,Average,Low,Multi-Split
Retail,Cold,Low,30172.97,1.0,14.48,3385.0,14.0,8.0,13.68,45.86,Poor,High,Packaged Unit
Office,Warm,Medium,38597.92,3.0,10.23,1342.0,11.0,53.0,31.23,39.43,Average,High,VRF
Office,Warm,Low,43824.89,2.0,13.13,4010.0,11.0,21.0,33.15,54.41,Average,High,VRF
Office,Cold,Low,24068.07,2.0,13.5,1119.0,11.0,53.0,11.55,35.8,Average,High,VRF
Retail,Warm,High,42962.45,2.0,16.81,4676.0,15.0,16.0,34.46,58.84,Good,High,VRF
Residential,Hot,Medium,1447.69,1.0,9.45,11.0,10.0,30.0,40.93,47.44,Good,,Split AC
Retail,Humid,Medium,56402.28,5.0,13.9,3196.0,15.0,21.0,38.59,83.68,Poor,Medium,VRF
Residential,Hot,Low,2110.16,1.0,8.58,16.0,12.0,21.0,39.6,46.78,Poor,Medium,Split AC
Office,Hot,High,19012.19,1.0,13.46,1373.0,,13.0,42.49,38.35,Excellent,Medium,VRF
Residential,Warm,Medium,1937.08,1.0,9.4,27.0,12.0,26.0,29.67,52.06,Average,Low,Split AC
Industrial,Humid,Low,68934.41,3.0,22.69,1598.0,21.0,0.0,35.69,90.92,Poor,Low,Central Chiller
Hospital,Hot,Low,45663.23,3.0,12.76,2818.0,23.0,30.0,41.07,33.75,Average,Low,Central Chiller
Industrial,Hot,Medium,113911.52,5.0,22.0,6439.0,15.0,32.0,43.01,35.96,Poor,Low,Central Chiller
Office,Warm,Medium,38000.52,1.0,10.13,3143.0,,39.0,27.17,,Good,High,Central Chiller
Office,Cold,Low,22703.18,3.0,10.44,1641.0,11.0,15.0,18.5,32.95,Poor,Medium,Multi-Split
Office,Warm,Medium,12650.44,1.0,12.8,993.0,8.0,29.0,29.76,59.24,,High,Multi-Split
Retail,Hot,,14031.79,2.0,12.09,1548.0,13.0,3.0,32.97,48.43,Average,High,Packaged Unit
Industrial,Humid,,107907.84,5.0,32.08,3598.0,18.0,38.0,34.92,88.06,Poor,Medium,Central Chiller
Retail,Warm,Low,54336.76,4.0,13.04,4263.0,14.0,16.0,,35.02,Poor,High,VRF
Residential,Warm,Medium,2062.19,1.0,9.66,19.0,7.0,13.0,36.22,37.68,Average,Low,Multi-Split
Residential,Warm,Medium,1780.68,1.0,8.99,,8.0,29.0,28.97,48.6,Poor,Low,Split AC
Office,Cold,Low,20625.48,3.0,12.66,1748.0,11.0,39.0,14.26,16.83,Poor,,VRF
Residential,Hot,Medium,2635.34,1.0,9.81,60.0,9.0,40.0,37.44,35.47,Average,Low,Multi-Split
Industrial,Cold,Medium,70574.27,2.0,,1286.0,23.0,33.0,18.5,42.57,Average,Low,Packaged Unit
Office,Humid,Low,52547.85,1.0,10.3,2274.0,11.0,5.0,33.48,85.0,Average,High,VRF
Office,Warm,Low,18992.41,1.0,12.97,421.0,10.0,23.0,,,Average,High,Multi-Split
Residential,Warm,Medium,1591.42,1.0,8.92,22.0,10.0,27.0,27.72,47.58,Good,Low,Split AC
Residential,Cold,Low,2200.64,1.0,9.91,24.0,13.0,7.0,16.12,60.75,Poor,Medium,Split AC
Residential,Hot,Medium,882.09,1.0,10.5,17.0,7.0,3.0,29.73,46.55,Average,Low,Split AC
Office,Humid,Medium,17543.52,1.0,11.04,1205.0,8.0,13.0,37.62,103.53,Good,High,VRF
Residential,Hot,Low,979.63,3.0,8.7,17.0,12.0,23.0,38.9,23.55,Poor,Medium,Split AC
Office,Cold,High,37142.74,1.0,11.55,4150.0,11.0,,24.67,51.98,Average,High,VRF
Residential,Warm,Medium,3322.3,,8.9,44.0,10.0,15.0,29.76,41.61,Good,Low,Multi-Split
Retail,Humid,Medium,26200.67,1.0,12.67,1040.0,15.0,12.0,31.55,92.35,Average,High,Packaged Unit
Office,Warm,Low,18939.81,1.0,11.5,1162.0,,0.0,35.22,69.62,Poor,High,VRF
Office,Cold,Medium,37573.91,1.0,12.35,2361.0,10.0,13.0,5.59,27.19,Good,Medium,Central Chiller
Residential,Hot,Low,2131.98,3.0,9.09,36.0,8.0,2.0,44.96,44.67,Poor,Low,Split AC
Residential,Hot,Medium,2098.29,1.0,9.79,48.0,8.0,8.0,41.55,33.61,Good,Low,Split AC
Retail,Warm,Medium,39207.78,1.0,14.35,1913.0,15.0,15.0,23.08,54.93,Average,High,VRF
Industrial,Hot,Medium,59045.21,2.0,19.29,3744.0,19.0,19.0,37.78,44.0,Average,Low,Packaged Unit
Retail,Cold,Low,50519.7,3.0,13.14,4251.0,10.0,8.0,15.75,22.12,Poor,Medium,VRF
Residential,Humid,Medium,3108.79,1.0,9.75,73.0,6.0,8.0,31.44,73.2,Average,Low,Multi-Split
Hospital,Humid,Medium,149100.3,9.0,11.68,4045.0,21.0,30.0,31.62,68.8,,Low,Central Chiller
Retail,Hot,High,32299.67,1.0,12.55,3405.0,13.0,13.0,37.85,29.38,Excellent,High,VRF
Hospital,Warm,Low,189615.54,9.0,12.91,12255.0,23.0,50.0,28.99,61.51,Average,Medium,Central Chiller
Office,Hot,Medium,27466.0,,11.0,1857.0,11.0,18.0,33.85,45.59,Average,Medium,Multi-Split
Retail,Warm,Low,49362.61,2.0,13.86,3315.0,12.0,26.0,27.71,,Poor,High,Packaged Unit
Residential,Cold,Medium,1124.54,1.0,8.69,18.0,9.0,49.0,20.63,44.44,Average,Medium,Split AC
Residential,Cold,Medium,2524.58,1.0,10.2,25.0,10.0,42.0,14.85,17.11,Average,Low,Multi-Split
Residential,Warm,Low,1297.76,1.0,8.3,31.0,10.0,25.0,33.45,69.91,Poor,Low,Split AC
Residential,Warm,Low,1189.61,1.0,9.72,21.0,6.0,0.0,33.36,53.16,Poor,Low,Split AC
Retail,Hot,Low,48593.86,1.0,12.56,5239.0,13.0,0.0,37.49,58.36,Average,High,Central Chiller
Hospital,Warm,Medium,175467.42,9.0,,16052.0,20.0,26.0,24.86,72.45,Good,Low,Central Chiller
Industrial,Hot,Medium,77596.58,3.0,18.53,1991.0,20.0,28.0,40.5,67.59,Good,Low,Packaged Unit
Residential,Cold,Low,1938.8,1.0,9.55,43.0,11.0,29.0,15.68,25.95,Average,Low,Split AC
Office,Warm,Medium,34965.61,1.0,11.55,1086.0,10.0,27.0,33.54,59.65,Good,Medium,Multi-Split
,Warm,Medium,40111.79,1.0,13.84,2535.0,8.0,27.0,27.17,51.69,Average,High,Multi-Split
Residential,Humid,Medium,2099.08,2.0,10.51,23.0,7.0,22.0,38.05,68.89,Average,Medium,Split AC
Office,Hot,Medium,9685.63,1.0,12.51,443.0,10.0,25.0,39.51,30.25,Good,High,Multi-Split
Retail,Humid,Low,31987.66,1.0,12.63,2017.0,15.0,21.0,34.33,67.8,Poor,Medium,VRF
Residential,Cold,Low,2682.47,1.0,10.17,94.0,10.0,19.0,17.73,43.36,Poor,Medium,Multi-Split
Retail,Warm,Medium,52541.79,4.0,14.12,5954.0,10.0,10.0,32.08,49.38,Good,High,Packaged Unit
Hospital,Warm,Low,120493.14,5.0,12.81,20387.0,20.0,,24.37,36.0,Average,Low,Central Chiller
Residential,Cold,Medium,1872.97,1.0,10.3,17.0,10.0,20.0,21.22,19.56,Average,Low,Split AC
Residential,Warm,High,,1.0,9.33,44.0,9.0,33.0,29.55,37.99,Average,Medium,Split AC
Residential,Warm,Medium,1323.44,1.0,8.31,44.0,6.0,0.0,34.96,52.88,Good,Low,Central Chiller
Office,Warm,Low,24865.57,2.0,11.61,1271.0,11.0,21.0,40.44,60.15,Poor,High,Central Chiller
Office,Hot,Medium,29359.51,1.0,13.43,2195.0,9.0,3.0,38.13,20.09,Average,High,Packaged Unit
Hospital,Cold,High,49287.36,2.0,14.47,6401.0,23.0,55.0,15.87,46.04,Poor,Low,Central Chiller
Hospital,Hot,Medium,123924.12,6.0,14.7,5038.0,23.0,20.0,36.39,34.53,Average,Medium,Central Chiller
Retail,Humid,High,18548.28,2.0,13.55,1381.0,10.0,22.0,31.42,72.98,Excellent,Medium,VRF
Residential,Warm,Medium,1900.7,1.0,8.3,24.0,8.0,16.0,35.55,37.06,Average,Low,Split AC
,Warm,Medium,41080.76,2.0,11.41,3635.0,11.0,29.0,22.24,55.78,Average,High,Packaged Unit
Residential,Hot,Low,798.73,1.0,10.19,16.0,8.0,27.0,37.46,33.31,Poor,Low,Split AC
Office,Hot,Low,29372.42,2.0,12.92,439.0,8.0,29.0,37.82,36.7,Poor,High,VRF
Office,Hot,Low,11483.81,1.0,13.17,753.0,10.0,16.0,37.47,50.97,Average,High,Multi-Split
Hospital,Warm,Medium,67151.92,4.0,10.25,7166.0,21.0,35.0,29.68,46.45,Average,Medium,Central Chiller
Residential,Hot,Medium,2861.04,2.0,9.34,48.0,7.0,32.0,38.43,47.82,Good,Low,Multi-Split
Residential,Warm,Medium,1830.46,1.0,9.94,14.0,6.0,19.0,30.3,48.66,Good,Low,Split AC
Retail,Warm,High,51678.98,2.0,18.0,2839.0,10.0,,40.35,49.4,Excellent,High,VRF
Office,Warm,Medium,45942.5,3.0,10.93,3532.0,8.0,32.0,32.02,41.44,Good,High,Central Chiller
Hospital,Warm,Medium,144043.51,7.0,11.44,11481.0,22.0,12.0,28.12,55.1,Good,Low,Central Chiller
Office,Warm,Medium,11877.91,2.0,12.85,659.0,8.0,22.0,31.11,39.86,Good,Medium,Multi-Split
Residential,Hot,Low,2191.96,1.0,10.66,,11.0,6.0,42.17,39.9,Poor,Low,Split AC
Residential,Cold,High,500.0,1.0,10.12,6.0,11.0,26.0,18.21,32.15,Good,Medium,Split AC
Office,Cold,Medium,40459.45,1.0,13.11,2157.0,9.0,,16.69,36.75,Average,High,Packaged Unit
Residential,Warm,Low,1304.49,1.0,10.91,15.0,7.0,25.0,34.87,29.9,Poor,Low,Split AC
Office,Cold,Medium,41394.51,1.0,10.66,1553.0,9.0,29.0,15.85,34.16,Average,Medium,VRF
Retail,Humid,Medium,82153.97,5.0,13.28,9004.0,10.0,8.0,38.31,88.64,Poor,High,Packaged Unit
Office,Humid,Medium,500.0,1.0,10.21,19.0,8.0,40.0,36.95,87.55,Good,Medium,Split AC
Office,Humid,Medium,28584.07,3.0,10.34,2214.0,8.0,19.0,29.33,82.06,Average,Medium,VRF
Residential,Hot,Medium,500.0,1.0,10.89,10.0,11.0,0.0,34.64,43.5,Poor,Medium,Split AC
Office,,Low,47396.25,2.0,10.94,4583.0,11.0,22.0,11.51,45.34,,Medium,Multi-Split
Retail,Cold,High,44007.57,1.0,16.17,5546.0,13.0,6.0,17.09,36.82,Good,High,VRF
Retail,Warm,Medium,25269.93,1.0,12.78,2892.0,,36.0,29.41,73.99,Average,Medium,Packaged Unit
Residential,Cold,Low,1163.87,1.0,8.27,29.0,9.0,23.0,8.27,43.89,Poor,Low,VRF
,Cold,Medium,27515.19,,12.52,1142.0,10.0,28.0,20.56,40.47,Poor,High,Multi-Split
Retail,Hot,,22916.99,2.0,15.85,2469.0,13.0,17.0,36.83,22.33,Average,Medium,VRF
Hospital,Hot,Low,190052.36,11.0,12.14,21630.0,20.0,45.0,32.83,27.83,Average,Medium,Central Chiller
Retail,Warm,Medium,50068.12,2.0,14.19,4140.0,10.0,25.0,30.24,49.05,Good,High,Packaged Unit
Residential,Humid,High,1830.63,1.0,9.2,35.0,12.0,5.0,36.51,68.24,Good,Low,Split AC
Retail,Hot,Medium,24298.59,1.0,16.06,1165.0,15.0,9.0,38.56,31.98,Average,High,Packaged Unit
Residential,Hot,Medium,1907.27,1.0,9.69,16.0,10.0,22.0,41.96,32.1,Poor,Low,Split AC
Hospital,Humid,Medium,74956.51,,12.44,14738.0,22.0,56.0,38.52,81.09,Good,Low,Central Chiller
Retail,Warm,High,38079.16,4.0,17.56,4907.0,15.0,21.0,27.07,52.86,Good,High,Packaged Unit
Residential,Cold,Medium,1839.33,1.0,8.93,20.0,13.0,28.0,14.68,38.97,Poor,Low,Split AC
Office,Cold,Low,24118.51,1.0,12.1,2045.0,10.0,21.0,17.19,40.98,Average,Medium,VRF
Office,Hot,Low,20666.1,2.0,10.03,542.0,8.0,39.0,32.89,44.85,Poor,Medium,Central Chiller
Office,Warm,Low,23961.94,1.0,13.64,1175.0,8.0,25.0,22.76,37.29,Average,High,VRF
Office,Humid,Low,7563.91,4.0,13.03,265.0,8.0,26.0,34.63,74.75,Poor,Medium,Split AC
Office,Hot,High,28123.66,1.0,11.46,1332.0,9.0,2.0,45.27,37.76,Excellent,Medium,VRF
Industrial,Warm,Medium,125334.59,7.0,21.96,2165.0,23.0,0.0,22.29,45.64,Good,Medium,Packaged Unit
Residential,Cold,Medium,1677.97,1.0,9.38,50.0,6.0,27.0,16.41,31.42,Average,Low,Split AC
Residential,Warm,High,655.28,1.0,10.53,11.0,8.0,45.0,33.31,62.15,Good,Low,Split AC
Residential,Warm,Medium,1344.01,1.0,8.33,7.0,6.0,23.0,30.34,66.63,Poor,Low,Multi-Split
Retail,Warm,High,22527.34,1.0,17.59,1010.0,13.0,7.0,38.24,51.51,Average,High,VRF
Residential,Humid,Low,1738.49,1.0,9.95,26.0,8.0,18.0,35.85,77.44,Poor,Low,Split AC
Hospital,Cold,High,80309.25,7.0,11.48,4477.0,22.0,40.0,14.82,44.48,Average,Low,VRF
Residential,Humid,Medium,1028.06,1.0,10.27,13.0,10.0,11.0,36.3,76.2,Average,Low,Split AC
Retail,Warm,Medium,67356.93,3.0,13.17,6137.0,14.0,26.0,30.34,41.38,Average,High,VRF
Industrial,Humid,Medium,83557.24,4.0,28.04,2069.0,12.0,20.0,31.51,91.26,Good,Medium,Packaged Unit
Office,Cold,Medium,15586.05,1.0,11.46,,8.0,30.0,10.08,27.49,Average,Medium,Multi-Split
Residential,Humid,Medium,992.48,,9.14,27.0,12.0,17.0,30.15,92.29,Poor,Medium,Split AC
Residential,Cold,Low,1490.73,1.0,9.29,23.0,12.0,7.0,14.04,21.39,Poor,Low,Split AC
Hospital,Warm,High,93957.88,4.0,11.33,5594.0,23.0,40.0,30.45,46.86,Good,Medium,Central Chiller
Residential,Humid,Medium,2266.95,2.0,9.56,46.0,9.0,8.0,29.49,69.53,Good,Low,Split AC
Office,Hot,High,29394.66,3.0,12.33,1126.0,8.0,0.0,36.35,30.3,Average,Medium,VRF
Residential,Warm,Medium,2202.85,1.0,8.67,21.0,10.0,18.0,32.09,55.16,Poor,Low,Split AC
Retail,Hot,High,15538.72,1.0,12.24,1130.0,11.0,0.0,35.04,20.58,Excellent,Medium,VRF
Office,Warm,Medium,26200.05,1.0,11.32,1924.0,9.0,39.0,22.04,53.57,Good,High,Packaged Unit
Residential,Hot,Medium,1486.59,1.0,9.72,28.0,13.0,22.0,36.28,34.42,Good,Medium,Split AC
Residential,Humid,Low,1757.52,1.0,10.38,64.0,11.0,26.0,38.0,80.18,Poor,Medium,Split AC
Office,Cold,Medium,41914.57,5.0,12.16,1818.0,8.0,36.0,15.29,23.43,Good,High,Multi-Split
Residential,Humid,Medium,1012.39,1.0,9.8,9.0,7.0,18.0,30.33,106.83,,Low,Split AC
Residential,Hot,Medium,1322.54,1.0,10.31,61.0,9.0,11.0,38.96,33.86,Good,Low,Central Chiller
Retail,Hot,Low,67014.33,1.0,14.89,7687.0,14.0,0.0,31.01,42.72,Average,Medium,VRF
Office,Humid,Medium,49928.95,2.0,13.03,1965.0,9.0,17.0,27.42,92.09,Average,High,Packaged Unit
Industrial,Warm,Medium,94555.74,8.0,18.1,3323.0,20.0,16.0,25.26,43.4,Good,Medium,VRF
Residential,Hot,Medium,1289.52,1.0,8.42,16.0,11.0,45.0,38.51,38.08,Average,Low,Split AC
Office,Humid,Low,18794.14,1.0,10.42,546.0,9.0,17.0,37.65,97.46,Poor,High,Multi-Split
Residential,Hot,High,2458.79,1.0,10.38,30.0,6.0,0.0,40.57,38.49,Good,Low,Split AC
Retail,Humid,Low,7263.39,1.0,13.51,854.0,14.0,15.0,34.25,110.41,Poor,Medium,Split AC
Office,Warm,Low,33691.38,1.0,10.51,1092.0,8.0,24.0,29.45,60.46,Poor,High,VRF
Office,Humid,Medium,28956.73,1.0,11.71,2655.0,11.0,33.0,28.1,75.5,Average,High,Central Chiller
Residential,Humid,Medium,1355.76,1.0,9.48,35.0,10.0,24.0,35.16,90.59,Good,Medium,Multi-Split
Residential,Humid,Medium,2533.03,1.0,10.38,37.0,12.0,1.0,39.04,69.54,Good,Low,Multi-Split
Retail,Humid,High,2495.52,1.0,15.72,135.0,10.0,10.0,29.48,86.6,Excellent,Medium,Packaged Unit
Retail,Hot,High,55365.52,5.0,12.12,,15.0,28.0,38.12,33.82,Good,Medium,VRF
Hospital,Cold,Medium,223946.95,12.0,10.79,8864.0,21.0,62.0,17.84,41.48,Average,Low,Central Chiller
Industrial,Hot,Low,83751.19,4.0,21.26,3479.0,13.0,63.0,41.14,,Average,Low,Packaged Unit
Retail,Hot,High,62353.12,3.0,15.09,12987.0,12.0,11.0,40.41,45.8,Excellent,High,VRF
Residential,Hot,High,1054.52,1.0,9.04,16.0,9.0,21.0,37.42,42.17,Average,Low,Split AC
Retail,Warm,Low,37124.48,2.0,16.59,3025.0,12.0,27.0,29.16,32.63,Poor,Medium,Packaged Unit
Hospital,Humid,Medium,131651.71,8.0,17.99,10957.0,22.0,13.0,38.24,92.1,Average,Medium,Central Chiller
Residential,Warm,Medium,1976.75,1.0,10.29,59.0,11.0,15.0,34.79,54.0,Good,Low,Split AC
Hospital,Hot,High,80748.56,5.0,10.02,5667.0,21.0,17.0,36.21,40.76,Average,Low,Central Chiller
Hospital,Humid,Medium,62014.86,1.0,13.3,4237.0,20.0,63.0,36.99,118.75,Good,Low,Packaged Unit
Office,Cold,Low,24160.38,1.0,12.96,1366.0,8.0,17.0,12.75,2.25,Average,Medium,Multi-Split
Residential,Warm,High,1917.53,1.0,9.13,24.0,6.0,7.0,31.71,57.71,Good,Low,Split AC
Office,Warm,Medium,37634.24,1.0,,1889.0,10.0,32.0,23.19,45.99,Average,High,VRF
Residential,Warm,Medium,1571.5,2.0,9.56,20.0,13.0,39.0,34.39,67.31,Poor,Low,Split AC
Residential,Hot,Medium,2308.16,1.0,10.7,48.0,11.0,,36.54,43.04,Average,Medium,Split AC
Office,Humid,Medium,19185.17,1.0,13.81,1570.0,8.0,2.0,32.32,80.5,Average,Medium,Multi-Split
Residential,Hot,Low,1061.07,1.0,10.99,15.0,7.0,22.0,38.27,38.14,Average,Low,Split AC
Office,Humid,Medium,18125.05,1.0,13.08,834.0,9.0,4.0,27.33,94.48,Average,High,Multi-Split
Office,Hot,Medium,19279.93,1.0,12.44,1221.0,11.0,23.0,36.92,40.82,Poor,High,Multi-Split
Industrial,Humid,Medium,50075.97,1.0,23.52,905.0,17.0,23.0,31.97,77.28,Average,Low,Packaged Unit
Hospital,Hot,Medium,,4.0,10.43,3000.0,23.0,15.0,43.64,49.46,Average,Low,VRF
Residential,Cold,Low,750.55,2.0,8.35,13.0,12.0,37.0,14.53,44.35,Average,Low,Split AC
Office,Warm,Low,16606.32,1.0,10.23,626.0,11.0,35.0,31.01,37.34,Poor,High,VRF
Residential,Hot,Medium,1599.12,1.0,9.31,19.0,13.0,7.0,38.01,38.07,Average,Low,Split AC
Industrial,Humid,Low,47689.04,1.0,23.85,1688.0,22.0,14.0,34.83,82.43,Average,Low,Packaged Unit
Residential,Hot,Low,1234.13,1.0,10.86,25.0,6.0,24.0,32.42,53.39,Average,Low,Split AC
Residential,Warm,Medium,500.0,1.0,10.19,12.0,13.0,20.0,30.55,44.03,Average,Medium,Split AC
Retail,Hot,Low,51609.75,2.0,12.82,2990.0,10.0,20.0,40.45,36.46,Average,High,VRF
Office,Warm,Medium,542.57,,13.2,37.0,8.0,42.0,33.46,45.77,Average,High,Packaged Unit
Residential,Cold,Medium,2511.84,1.0,8.06,72.0,9.0,13.0,19.86,28.49,Good,Low,Multi-Split
Residential,Cold,Medium,1955.32,1.0,9.25,25.0,11.0,28.0,12.99,28.8,Average,Low,Split AC
Office,Hot,Low,16549.18,3.0,11.14,1734.0,10.0,46.0,40.08,35.78,Poor,Medium,Central Chiller
Residential,Humid,High,2613.52,1.0,10.67,76.0,13.0,20.0,29.89,83.46,Excellent,Low,Multi-Split
Residential,Hot,Medium,1554.34,1.0,10.79,27.0,7.0,,35.61,30.14,Good,Low,Central Chiller
Residential,Cold,High,2741.11,1.0,9.35,77.0,7.0,36.0,17.12,31.19,Average,Low,VRF
Residential,Hot,Low,2034.87,1.0,10.31,51.0,10.0,25.0,35.21,35.47,Average,Low,Split AC
Residential,Hot,Low,1573.19,1.0,8.05,27.0,7.0,0.0,41.97,15.81,Average,Low,Split AC
Residential,Warm,Medium,2132.03,1.0,,55.0,11.0,42.0,37.5,37.0,Average,Low,Split AC
Residential,,Medium,1364.38,1.0,10.05,,11.0,11.0,39.18,32.71,Poor,Low,Split AC
Residential,Humid,Medium,,1.0,8.2,32.0,10.0,26.0,34.12,81.78,Average,Low,Central Chiller
Residential,Warm,High,1407.76,1.0,10.32,12.0,9.0,16.0,25.98,45.21,Excellent,Low,Split AC
Hospital,Warm,High,70921.28,6.0,14.55,2898.0,21.0,4.0,32.13,66.76,Good,Low,Central Chiller
Residential,Hot,Low,2464.27,1.0,9.4,59.0,11.0,17.0,38.03,,Average,Low,Split AC
Retail,Hot,Medium,25707.11,2.0,14.79,2138.0,10.0,7.0,46.76,51.65,Average,High,Packaged Unit
Residential,Humid,Low,1345.88,1.0,10.7,22.0,6.0,13.0,30.61,100.1,Average,Low,Split AC
Residential,Hot,High,2574.26,1.0,9.18,18.0,9.0,0.0,43.05,36.54,Good,Low,Multi-Split
Office,Warm,Low,31038.27,2.0,12.8,1351.0,,17.0,29.64,36.61,Poor,High,VRF
Residential,Humid,Medium,2778.38,2.0,10.51,47.0,8.0,14.0,31.45,87.18,Good,Low,Multi-Split
Residential,Humid,High,1013.49,1.0,10.24,17.0,10.0,15.0,28.69,86.05,Good,Low,VRF
Residential,,Medium,,2.0,8.29,19.0,10.0,13.0,42.36,49.09,Good,Low,Split AC
Office,Hot,Low,36564.56,3.0,11.59,3317.0,11.0,10.0,37.34,54.11,Poor,Medium,VRF
Hospital,Humid,Low,204874.68,8.0,13.91,24458.0,21.0,24.0,25.07,77.34,Poor,Low,Central Chiller
Residential,Hot,Medium,1939.52,1.0,10.56,41.0,9.0,33.0,41.31,36.45,Good,Medium,Multi-Split
Hospital,Cold,Medium,147763.96,9.0,12.38,12499.0,23.0,30.0,20.02,38.88,Good,Low,Central Chiller
Residential,Warm,High,2452.22,1.0,8.09,9.0,6.0,14.0,29.53,68.02,Excellent,Low,Split AC
Residential,Humid,High,1576.49,,9.12,30.0,6.0,44.0,,77.09,Average,Medium,Split AC
,Humid,Low,2021.4,1.0,10.14,36.0,10.0,21.0,33.13,84.2,Average,Medium,Split AC
Residential,Hot,Low,2232.98,1.0,9.18,51.0,10.0,12.0,25.86,21.08,Poor,Low,Split AC
Residential,Cold,Low,871.94,1.0,8.86,11.0,6.0,18.0,8.92,27.46,Poor,Low,VRF
Retail,Humid,Low,61514.51,1.0,16.34,4521.0,14.0,19.0,38.67,72.82,Average,High,Central Chiller
Office,Hot,Low,18622.43,1.0,13.49,1180.0,11.0,16.0,38.85,48.28,Average,High,Multi-Split
Residential,Warm,Medium,2913.18,1.0,9.83,38.0,8.0,33.0,31.39,50.33,Average,Medium,Multi-Split
Retail,Humid,Medium,30621.0,2.0,13.41,1457.0,15.0,5.0,38.29,75.35,Poor,High,Packaged Unit
Residential,Warm,High,2309.01,1.0,10.97,37.0,9.0,28.0,25.92,16.39,Average,Low,Split AC
Industrial,Humid,Low,156402.27,10.0,31.35,9442.0,23.0,41.0,30.37,86.4,Poor,Low,Central Chiller
Hospital,Hot,Low,118985.25,9.0,16.48,4705.0,20.0,26.0,36.99,36.58,Poor,Low,Central Chiller
Residential,Warm,High,,1.0,9.61,25.0,11.0,35.0,35.28,29.24,Excellent,Low,Multi-Split
Hospital,Warm,Medium,126220.03,7.0,15.76,12410.0,21.0,27.0,30.45,30.96,Good,Low,Central Chiller
Residential,Warm,Medium,1288.19,1.0,9.12,26.0,6.0,31.0,24.34,46.09,Average,Low,Split AC
Industrial,Humid,Low,66162.61,5.0,23.63,1718.0,15.0,8.0,30.52,85.44,Average,Low,Central Chiller
Office,Hot,Low,30984.71,1.0,11.89,2537.0,8.0,37.0,43.01,39.86,Poor,High,VRF
Residential,Cold,Medium,2276.93,1.0,9.44,39.0,7.0,7.0,13.45,37.88,Good,Low,Split AC
Hospital,Hot,Medium,72560.04,5.0,13.2,7728.0,20.0,11.0,33.69,31.08,Average,Low,Central Chiller
Retail,Hot,Medium,1421.56,2.0,17.91,64.0,14.0,14.0,41.95,50.62,Average,Medium,Packaged Unit
Hospital,,Medium,54844.01,2.0,10.79,3371.0,21.0,23.0,27.29,81.16,Poor,Medium,VRF
Industrial,Warm,Medium,74024.48,5.0,29.17,3862.0,18.0,26.0,25.52,52.35,Good,Low,Packaged Unit
Residential,Hot,Low,2286.3,1.0,8.1,34.0,7.0,25.0,35.59,37.91,Average,Low,Split AC
Residential,Warm,Low,2020.79,1.0,10.25,64.0,6.0,27.0,30.73,,Poor,Medium,Split AC
Industrial,Humid,Low,53489.68,2.0,28.43,3971.0,15.0,28.0,36.0,86.16,Average,Low,Central Chiller
Hospital,Humid,Low,82874.44,6.0,10.25,5287.0,20.0,29.0,32.87,88.83,Poor,Low,VRF
Residential,Warm,Medium,1672.39,1.0,9.61,21.0,8.0,22.0,34.15,64.58,Good,Low,Split AC
Residential,Humid,Medium,500.0,1.0,8.82,17.0,,11.0,40.32,84.88,Average,Medium,Split AC
Residential,Humid,Low,2423.93,2.0,9.9,50.0,8.0,39.0,40.93,84.8,Poor,Low,Split AC
Office,Warm,Medium,48331.65,1.0,12.05,6700.0,10.0,17.0,22.32,53.48,Average,Medium,Packaged Unit
Retail,Humid,Low,64546.09,4.0,14.05,5760.0,15.0,24.0,44.85,82.05,Poor,Medium,Packaged Unit
Office,Hot,Low,26009.93,3.0,10.94,1858.0,10.0,33.0,40.74,43.6,Average,High,Split AC
Office,Hot,Medium,27007.13,1.0,12.27,2246.0,11.0,28.0,38.38,31.45,Average,Medium,VRF
Industrial,Warm,Low,58449.18,3.0,27.25,2894.0,12.0,22.0,28.57,35.92,Poor,Low,Packaged Unit
Office,Cold,High,25790.13,2.0,11.25,1662.0,10.0,40.0,18.52,23.73,Good,High,VRF
Residential,Warm,Low,1133.23,1.0,9.54,18.0,11.0,29.0,25.0,50.65,Poor,Medium,Split AC
Residential,Cold,Low,1362.93,2.0,8.53,36.0,13.0,12.0,24.44,12.46,Poor,Medium,Multi-Split
Residential,Warm,Medium,1836.83,1.0,8.65,36.0,12.0,14.0,26.9,47.56,Good,Low,Multi-Split
,Humid,Medium,3537.83,1.0,9.98,49.0,10.0,4.0,37.27,94.6,Good,Medium,Multi-Split
Residential,Humid,Medium,1357.93,1.0,9.28,27.0,12.0,32.0,36.82,103.06,Average,Low,Split AC
Retail,Hot,Medium,9672.61,1.0,,1374.0,14.0,16.0,30.12,55.97,Average,High,VRF
